Latitude, Longitude, Data Value
82, -71, -999
82, -70, -999
82, -69, -999
82, -68, -999
82, -67, -999
82, -66, -999
82, -65, -999
82, -64, -999
82, -63, -999
82, -62, -999
82, -61, -999
82, -60, -999
82, -59, -999
82, -58, -999
82, -57, -999
82, -56, -999
82, -55, -999
82, -54, -999
82, -53, -999
82, -52, -999
82, -51, -999
82, -50, -999
82, -49, -999
82, -48, -999
82, -47, -999
82, -46, -999
82, -45, -999
82, -44, -999
82, -43, -999
82, -42, -999
82, -41, -999
82, -40, -999
82, -39, -999
82, -38, -999
82, -37, -999
82, -36, -999
82, -35, -999
82, -34, -999
82, -33, -999
82, -32, -999
82, -31, -999
82, -30, -999
82, -29, -999
82, -28, -999
82, -27, -999
82, -26, -999
82, -25, -999
82, -24, -999
82, -23, -999
82, -22, -999
82, -21, -999
82, -20, -999
82, -19, -999
82, -18, -999
82, -17, -999
82, -16, -999
82, -15, -999
82, -14, -999
82, -13, -999
82, -12, -999
82, -11, -999
82, -10, -999
82, -9, -999
82, -8, -999
82, -7, -999
82, -6, -999
82, -5, -999
82, -4, -999
82, -3, -52.6
81, 2, -17.6954
81, 3, -13.1292
81, 4, -9.0586
81, 5, -5.73844
81, 6, -3.47001
81, 7, -2.80356
81, 8, -3.66522
81, 9, -5.6531
81, 10, -7.97833
81, 11, -9.88415
81, 12, -10.9124
81, 13, -10.4103
81, 14, -8.52538
81, 15, -5.54708
81, 16, -1.81446
81, 17, 2.43572
81, 18, 7.038
81, 19, 11.812
81, 20, 16.7853
81, 21, 21.8025
81, 22, 26.8358
81, 23, 31.3915
81, 24, 35.4956
81, 25, 39.442
81, 26, 43.2957
81, 27, 47.2591
81, 28, 51.329
81, 29, 55.287
81, 30, 58.9973
81, 31, 62.3124
81, 32, 65.2109
81, 33, 67.6093
81, 34, 69.7457
81, 35, 72.6784
81, 36, 65.4769
81, 37, 22.3458
81, 38, -35.0277
81, 39, -45.9436
81, 40, -47.0237
81, 41, -47.6183
81, 42, -47.4518
81, 43, -47.1564
81, 44, -45.7964
81, 45, -42.3668
81, 46, -36.3456
81, 47, -999
81, 48, -999
81, 49, -999
81, 50, 11.1324
81, 51, -999
81, 52, 26.5914
81, 53, 30.3164
81, 54, 30.9391
81, 55, 31.3999
81, 56, 31.7159
81, 57, -999
81, 58, 32.2
81, 59, 32.2
81, 60, -999
81, 61, -999
81, 62, -999
81, 63, -999
81, 64, -999
81, 65, -999
81, 66, -999
81, 67, -999
81, 68, -999
81, 69, -999
81, 70, -999
81, 71, -999
81, 72, -999
81, 73, -999
81, 74, -999
81, 75, -999
81, 76, -999
81, 77, -999
81, 78, -999
81, 79, -999
81, 80, -999
81, 81, -999
81, 82, -999
81, 83, -999
81, 84, -999
81, 85, -999
81, 86, -999
81, 87, -999
81, 88, -999
81, 89, -999
81, 90, -999
81, 91, -999
81, 92, -999
81, 93, -999
81, 94, -999
81, 95, -999
81, 96, -999
81, 97, -999
81, 98, -999
81, 99, -999
81, 100, -999
81, 101, -999
81, 102, -999
81, 103, -999
81, 104, -999
81, 105, -999
81, 106, -999
